model,fold,seed,condition,severity,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_recall,detected_events,total_events,false_alarms,false_alarms_per_hour,mean_detection_delay_seconds
masked_bimamba,fold_0,seed_2026,clean,0.0,0.8219762845849803,0.331985294117647,0.6748878923766816,0.8393741159830269,0.445046821094135,0.8235005935731305,9495,1817,435,903,0.4353904756155645,0.7210526315789474,0.7150837988826816,0.9846153846153848,0.15,0.8284789644012944,0.7314102564102565,9,51,2,128,0.946153846153846,123,130,240,314.4562527296548,0.1902439024390244
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.1,0.8401581027667984,0.3184713375796178,0.4484304932735426,0.8864922206506365,0.37243947858473,0.774546204620462,10028,1284,738,600,0.1667032612807194,0.7052631578947368,0.7151162790697675,0.946153846153846,0.1833333333333333,0.814569536423841,0.6423076923076922,11,49,7,123,0.8846153846153846,115,130,325,425.82617557140753,0.6208695652173913
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.2,0.8932806324110671,0.4939148073022312,0.3639760837070254,0.9558875530410184,0.419104991394148,0.8129206678675555,10813,499,851,487,0.1240850257950102,0.7,0.738562091503268,0.8692307692307693,0.3333333333333333,0.7985865724381626,0.6106410256410256,20,40,17,113,0.7769230769230769,101,130,213,279.0799242975686,0.7861386138613863
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.3,0.8682213438735178,0.3972517176764522,0.4753363228699551,0.914692362093352,0.432800272201429,0.8067770472194562,10347,965,702,636,0.0951532552223431,0.7157894736842105,0.7183908045977011,0.9615384615384616,0.1833333333333333,0.8223684210526315,0.5798717948717949,11,49,5,125,0.9230769230769232,120,130,363,475.6150822536029,0.531666666666667
masked_bimamba,fold_0,seed_2026,frame_drop,0.1,0.8295652173913044,0.3463561232156273,0.6890881913303438,0.8461810466760962,0.461,0.8317662183418855,9572,1740,416,922,0.3347108596928506,0.7105263157894737,0.7071823204419889,0.9846153846153848,0.1166666666666666,0.8231511254019293,0.7289743589743589,7,53,2,128,0.9615384615384616,125,130,235,307.905080797787,0.2464
masked_bimamba,fold_0,seed_2026,frame_drop,0.2,0.8345454545454546,0.3551975450709628,0.6920777279521674,0.8513967468175389,0.4694550063371355,0.8395453034252817,9631,1681,412,926,0.2556385179800478,0.7052631578947368,0.7032967032967034,0.9846153846153848,0.1,0.8205128205128206,0.7256410256410256,6,54,2,128,0.9615384615384616,125,130,236,309.21531518416054,0.2175999999999999
masked_bimamba,fold_0,seed_2026,frame_drop,0.3,0.8362845849802372,0.3603809523809523,0.7070254110612855,0.8515735502121641,0.4774160989149634,0.8433190912781221,9633,1679,392,946,0.2003174771362613,0.7,0.6972972972972973,0.9923076923076924,0.0666666666666666,0.8190476190476191,0.7178205128205128,4,56,1,129,0.9692307692307692,126,130,258,338.0404716843789,0.2126984126984126
masked_bimamba,fold_0,seed_2026,confidence_noise,0.1,0.8085375494071146,0.3121968121968122,0.6733931240657698,0.824522630834512,0.4266098484848485,0.8158128503032879,9327,1985,437,901,0.4544157483319755,0.7105263157894737,0.7071823204419889,0.9846153846153848,0.1166666666666666,0.8231511254019293,0.7257692307692307,7,53,2,128,0.946153846153846,123,130,256,335.42000291163174,0.1658536585365853
masked_bimamba,fold_0,seed_2026,confidence_noise,0.2,0.7958893280632411,0.2969973890339425,0.680119581464873,0.8095827439886846,0.4134484325306679,0.8053456731003018,9158,2154,428,910,0.4615794070409574,0.7,0.6994535519125683,0.9846153846153848,0.0833333333333333,0.817891373801917,0.7169230769230769,5,55,2,128,0.953846153846154,124,130,277,362.93492502547656,0.1596774193548387
masked_bimamba,fold_0,seed_2026,confidence_noise,0.3,0.7839525691699605,0.282642567778124,0.6778774289985052,0.7964992927864215,0.3989443589179678,0.7941105639631868,9010,2302,431,907,0.4544618854525944,0.6894736842105263,0.6939890710382514,0.9769230769230768,0.0666666666666666,0.8115015974440893,0.7055128205128205,4,56,3,127,0.953846153846154,124,130,298,390.4498471393214,0.1419354838709677
