,,,severity,severity,severity,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_recall,event_recall,event_recall,detected_events,detected_events,detected_events,total_events,total_events,total_events,false_alarms,false_alarms,false_alarms,false_alarms_per_hour,false_alarms_per_hour,false_alarms_per_hour,mean_detection_delay_seconds,mean_detection_delay_seconds,mean_detection_delay_seconds
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,condition,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masked_bimamba,clean,0.0,0.0,0.0,12,0.8666966958924428,0.027835266983459315,12,0.6047760882449972,0.08556297181409113,12,0.6821762980740469,0.07123215482229861,12,0.9061261188717534,0.02055761802839524,12,0.639460139611369,0.07279214874451771,12,0.8635200780704769,0.050182579805896715,12,1468.4166666666667,309.32285526271545,12,156.08333333333334,64.2529919124158,12,112.83333333333333,50.453999451045114,12,229.91666666666666,40.560747557512336,12,0.2034284848440434,0.12606027980600437,12,0.711305075481646,0.05108381218313548,12,0.641694620853262,0.0383641979285512,12,0.943747510951812,0.05398232016612648,12,0.48585607940446646,0.09236758132327495,12,0.7631639798323331,0.03702736134889323,12,0.8761980951577265,0.05867460979276811,12,15.916666666666666,2.874917653629668,12,17.083333333333332,4.2094770423054895,12,1.9166666666666667,2.108783937953269,12,30.083333333333332,3.6545944516540563,12,0.9292650798027142,0.06164102058022074,12,29.666666666666668,4.075053448245876,12,32.0,4.552721463835969,12,25.25,7.863899102284381,12,198.4538253968311,40.846808688292484,12,0.2700316053416273,0.13509696426040024,12
masked_bimamba,confidence_noise,0.1,0.10000000000000002,0.0,12,0.8631458848836334,0.031180936463704675,12,0.5940909228163238,0.08442414647730671,12,0.694978591509483,0.06696135470813562,12,0.8989831278619046,0.026730795586916514,12,0.6387944225391601,0.0704785779458275,12,0.8631121485191375,0.051139679521164126,12,1456.8333333333333,307.02882107335944,12,167.66666666666666,72.0067336918548,12,108.0,47.19206404779208,12,234.75,43.222731813879435,12,0.20185612141329548,0.1258497319071481,12,0.6876461901928795,0.05723895614883808,12,0.6210427861841075,0.04349274989354073,12,0.9501577673620685,0.04103200498902222,12,0.4328163771712159,0.10606380442145565,12,0.7503984166898716,0.03800878987182827,12,0.8742018679004085,0.056560412814391114,12,14.166666666666666,3.2427074359478554,12,18.833333333333332,4.648231987117318,12,1.6666666666666667,1.556997888323046,12,30.333333333333332,3.8924947208076177,12,0.9356753362129706,0.04912316869302909,12,29.916666666666668,4.252450274057691,12,32.0,4.552721463835969,12,28.333333333333332,9.227757861556357,12,223.3060438908617,56.79680074100265,12,0.21317296086516094,0.13882220819900648,12
masked_bimamba,confidence_noise,0.2,0.20000000000000004,0.0,12,0.8596215339228732,0.035779963552736646,12,0.5855784014790472,0.088100844906589,12,0.7059064331248073,0.06469893768837418,12,0.892363713701478,0.03404373875544479,12,0.6378884161747188,0.07069664060452323,12,0.862062600031927,0.051455009179042985,12,1445.4166666666667,301.38150342391714,12,179.08333333333334,83.25913363309357,12,104.08333333333333,45.08468462658676,12,238.66666666666666,44.85194499346678,12,0.1999882109539094,0.12512259432901737,12,0.6761407412935426,0.0633426076972562,12,0.6114836783290479,0.04727311747371434,12,0.9544312716355727,0.04580752613959498,12,0.40582437275985656,0.11713567022694553,12,0.7445622645856466,0.041929478785024676,12,0.8696100438277724,0.05658343794877137,12,13.25,3.493500458643945,12,19.75,5.119037551585791,12,1.5,1.6236882817719773,12,30.5,4.231913386293594,12,0.9399488404864749,0.05443182932001127,12,30.083333333333332,4.581749037477308,12,32.0,4.552721463835969,12,31.083333333333332,10.655415467633288,12,244.14892411290478,62.36091916275179,12,0.15239013827201678,0.14424278359740264,12
masked_bimamba,confidence_noise,0.3,0.3,0.0,12,0.8517162330671356,0.04058150981981325,12,0.5680253510482812,0.09175148781162173,12,0.7088568564240757,0.05562867730008574,12,0.8820069001317167,0.042485022095399276,12,0.6277325873304428,0.06810731974261615,12,0.8595312047793396,0.05114896087100981,12,1428.5,298.31999293010546,12,196.0,94.94208761134338,12,102.58333333333333,41.419052123242516,12,240.16666666666666,46.57707850890011,12,0.19830624784214712,0.1231323883302369,12,0.6496033128036524,0.06711196954815436,12,0.5918244976696793,0.04964025293156456,12,0.9513448518824862,0.049036685080667254,12,0.3564649676040805,0.12754078721158885,12,0.7287004849915091,0.043814730209313285,12,0.8647740829989834,0.05726962441107772,12,11.666666666666666,3.9157800414902435,12,21.333333333333332,5.193235693640042,12,1.5833333333333333,1.6764862244009227,12,30.416666666666668,4.358029857908761,12,0.9368624207333885,0.05848909251925478,12,30.0,4.709757762541316,12,32.0,4.552721463835969,12,35.75,12.016087700926773,12,281.9057973531781,78.83147319121787,12,0.10797795214112621,0.14467655164827503,12
masked_bimamba,frame_drop,0.1,0.10000000000000002,0.0,12,0.8697680767366537,0.02832625603968291,12,0.6147263042238245,0.09059384315913585,12,0.691767287555464,0.0561574769172201,12,0.9077252341363337,0.023951480424621686,12,0.6489906405170647,0.06898212201046736,12,0.8649025639805205,0.04830939812308062,12,1471.25,310.84755837138977,12,153.25,66.39841865586861,12,108.58333333333333,43.422780643204774,12,234.16666666666666,43.99552318822971,12,0.18075969865979213,0.11475748626665382,12,0.7107055445340674,0.05898726768568731,12,0.6415419040530453,0.048257766214220205,12,0.9511916796863034,0.034017783600620896,12,0.4766697684036394,0.11924650266789702,12,0.7652348046086255,0.03709140417808037,12,0.8804301063074588,0.05279698964165428,12,15.5,3.2333489534143163,12,17.5,5.418822414845901,12,1.5833333333333333,1.2401124093721456,12,30.416666666666668,4.2949935619241275,12,0.9367092485372055,0.042424060193916466,12,30.0,4.6122366887148445,12,32.0,4.552721463835969,12,25.916666666666668,8.184889995743635,12,203.68880976708405,46.31813971212488,12,0.2664768261030775,0.13170570146602428,12
masked_bimamba,frame_drop,0.2,0.20000000000000004,0.0,12,0.8649554780198511,0.02609806830250353,12,0.5972407328741158,0.08094028480898187,12,0.7037620551468997,0.048550119798515555,12,0.899246107194485,0.02295681248353047,12,0.6443761499187414,0.06137073222190914,12,0.863573409668414,0.04353970559897904,12,1457.8333333333333,309.88585386274485,12,166.66666666666666,65.85843403341241,12,103.83333333333333,39.01476022163298,12,238.91666666666666,47.18909414325102,12,0.16237658653642106,0.1025278280673786,12,0.6970761270421711,0.04744513444146203,12,0.6284028501326495,0.038552477257675986,12,0.9511916796863034,0.02825940299913543,12,0.4505996691480562,0.09389419738422411,12,0.7561607941308157,0.03019343665231039,12,0.8782269299044249,0.05102494425383341,12,14.666666666666666,2.348435972120916,12,18.333333333333332,4.8116021397778885,12,1.5833333333333333,0.9962049198956219,12,30.416666666666668,4.23101821687347,12,0.9388460006739576,0.03623370130839592,12,30.083333333333332,4.6604395682914905,12,32.0,4.552721463835969,12,28.916666666666668,7.216878364870322,12,228.39068371265702,40.836818032871456,12,0.2655091482878497,0.10191872675151567,12
masked_bimamba,frame_drop,0.3,0.3,0.0,12,0.852156290743124,0.024954936960861086,12,0.5602417114179489,0.06345746460443633,12,0.716712631486426,0.04602968174268246,12,0.8809125617921136,0.02191315453785821,12,0.6275667628016363,0.05066950505859548,12,0.8544473394795423,0.03817556116237822,12,1428.75,307.5628908340241,12,195.75,67.74970647370162,12,98.91666666666667,35.61271053311094,12,243.83333333333334,50.52602089892684,12,0.1538722612619654,0.09345378268772281,12,0.6639861820252312,0.03340168990847604,12,0.6003001965387984,0.024545039230238572,12,0.9545155163434734,0.03141684694565178,12,0.382265388061759,0.0778058870733743,12,0.7365793942783104,0.019976799917947964,12,0.8702557066414299,0.04809680853927397,12,12.416666666666666,1.7816403745544227,12,20.583333333333332,4.699290726623895,12,1.4166666666666667,0.90033663737852,12,30.583333333333332,4.737823307909414,12,0.9452562570842141,0.039946986272948876,12,30.333333333333332,5.051252469947579,12,32.0,4.552721463835969,12,34.166666666666664,9.475646615818826,12,267.7875658962076,41.869137192489,12,0.22971320714232366,0.12337634523696041,12
masked_bimamba,lower_body_missing,1.0,1.0,0.0,12,0.30511895286941765,0.2059906099001558,12,0.2011861411611459,0.05598139062417958,12,0.9014885754331069,0.18179237566939185,12,0.18240451347982142,0.27578076417958214,12,0.3180605595569613,0.06334531119525717,12,0.6015278322332288,0.0923586906380597,12,338.1666666666667,569.5779671002563,12,1286.3333333333333,459.5605278827576,12,41.916666666666664,81.15692804497327,12,300.8333333333333,73.10867792457191,12,1.6515147509774808,1.3823640542653453,12,0.5008110640538485,0.024033264151133098,12,0.49654729041989526,0.01728871469056901,12,0.9743589743589743,0.08882311833686553,12,0.044389302453818565,0.09685438827505467,12,0.6560901582851515,0.02643522234124693,12,0.5028874151481144,0.11654868022250973,12,1.6666666666666667,3.773913650631694,12,31.333333333333332,3.2286595398465945,12,1.0,3.4641016151377544,12,31.0,4.177863742936748,12,0.9722222222222222,0.08845787859956147,12,30.916666666666668,4.010403138505323,12,32.0,4.552721463835969,12,36.5,8.207535340383028,12,290.29958602621923,43.74401979941982,12,-0.9631684555566843,0.8307426554984151,12
