model,fold,seed,condition,severity,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_recall,detected_events,total_events,false_alarms,false_alarms_per_hour,mean_detection_delay_seconds
masked_bimamba,fold_0,seed_2026,clean,0.0,0.8611778846153846,0.6920821114369502,0.6519337016574586,0.9193548387096774,0.6714082503556187,0.8529058566930604,1197,105,126,236,0.2912343189908334,0.6451612903225806,0.5957446808510638,0.9032258064516128,0.3870967741935484,0.7179487179487178,0.8314255983350677,12,19,3,28,0.9032258064516128,28,31,25,230.06134969325143,0.3928571428571428
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.1,0.8227163461538461,0.6892655367231638,0.3370165745856354,0.957757296466974,0.4526901669758812,0.8056984155273231,1247,55,240,122,0.2764415291855515,0.7096774193548387,0.6857142857142857,0.7741935483870968,0.6451612903225806,0.7272727272727272,0.7377731529656608,20,11,7,24,0.7741935483870968,24,31,13,119.63190184049076,0.9583333333333334
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.2,0.7896634615384616,0.536144578313253,0.2458563535911602,0.9408602150537636,0.3371212121212121,0.7769156673540919,1225,77,273,89,0.2912380989414836,0.6935483870967742,0.6764705882352942,0.7419354838709677,0.6451612903225806,0.7076923076923077,0.6659729448491155,20,11,8,23,0.7419354838709677,23,31,13,119.63190184049076,1.3304347826086955
masked_bimamba,fold_0,seed_2026,random_joint_drop,0.3,0.7716346153846154,0.4664179104477612,0.3453038674033149,0.8901689708141322,0.3968253968253968,0.7396886218397535,1159,143,237,125,0.1976416509849234,0.5967741935483871,0.5652173913043478,0.8387096774193549,0.3548387096774194,0.6753246753246753,0.6357960457856399,11,20,5,26,0.8387096774193549,26,31,34,312.883435582822,0.8538461538461539
masked_bimamba,fold_0,seed_2026,frame_drop,0.1,0.8605769230769231,0.6815642458100558,0.6740331491712708,0.912442396313364,0.6777777777777777,0.8533874786770884,1188,114,118,244,0.2356558631962308,0.6451612903225806,0.5957446808510638,0.9032258064516128,0.3870967741935484,0.7179487179487178,0.8335067637877211,12,19,3,28,0.9032258064516128,28,31,25,230.06134969325143,0.3214285714285715
masked_bimamba,fold_0,seed_2026,frame_drop,0.2,0.8665865384615384,0.6955307262569832,0.6878453038674033,0.9162826420890936,0.6916666666666667,0.857217116039073,1193,109,113,249,0.1868360630738047,0.6612903225806451,0.6086956521739131,0.9032258064516128,0.4193548387096774,0.7272727272727272,0.8449531737773153,13,18,3,28,0.9032258064516128,28,31,25,230.06134969325143,0.3071428571428573
masked_bimamba,fold_0,seed_2026,frame_drop,0.3,0.8581730769230769,0.6649214659685864,0.7016574585635359,0.901689708141321,0.6827956989247311,0.8542000831699638,1174,128,108,254,0.1527218900334376,0.6451612903225806,0.5957446808510638,0.9032258064516128,0.3870967741935484,0.7179487179487178,0.870967741935484,12,19,3,28,0.9032258064516128,28,31,29,266.8711656441717,0.2714285714285715
masked_bimamba,fold_0,seed_2026,confidence_noise,0.1,0.8581730769230769,0.6810344827586207,0.6546961325966851,0.9147465437788018,0.667605633802817,0.8525239537982363,1191,111,125,237,0.2791119367600633,0.6129032258064516,0.5714285714285714,0.9032258064516128,0.3225806451612903,0.7000000000000001,0.8283038501560873,10,21,3,28,0.9032258064516128,28,31,29,266.8711656441717,0.3714285714285714
masked_bimamba,fold_0,seed_2026,confidence_noise,0.2,0.859375,0.684971098265896,0.6546961325966851,0.9162826420890936,0.6694915254237289,0.8535529699315121,1193,109,125,237,0.2659488879144192,0.5806451612903226,0.5510204081632653,0.8709677419354839,0.2903225806451613,0.6749999999999999,0.8220603537981269,9,22,4,27,0.8709677419354839,27,31,30,276.0736196319017,0.3999999999999999
masked_bimamba,fold_0,seed_2026,confidence_noise,0.3,0.8641826923076923,0.7011834319526628,0.6546961325966851,0.9224270353302612,0.6771428571428572,0.8540770255705205,1201,101,125,237,0.2547724797175481,0.5645161290322581,0.54,0.8709677419354839,0.2580645161290322,0.6666666666666666,0.8199791883454733,8,23,4,27,0.8709677419354839,27,31,31,285.2760736196318,0.3851851851851852
