run,variant,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
mask_ratio_005/masked_bimamba/fold_0/seed_2026,mask_ratio_005,masked_bimamba,fold_0,seed_2026,0.8653846153846154,0.7029411764705882,0.6602209944751382,0.9224270353302612,0.6809116809116809,0.8462416511783826,1201,101,123,239,0.5001889497812394,0.6612903225806451,0.6086956521739131,0.9032258064516129,0.41935483870967744,0.7272727272727272,0.8397502601456815,13,18,3,28,0.9032258064516129,28,31,22,202.45398773006127,0.457142857142857,46
mask_ratio_005/masked_bimamba/fold_0/seed_3407,mask_ratio_005,masked_bimamba,fold_0,seed_3407,0.8413461538461539,0.6368715083798883,0.6298342541436464,0.9001536098310292,0.6333333333333334,0.8417245886057149,1172,130,134,228,0.7753413616295662,0.7580645161290323,0.6818181818181818,0.967741935483871,0.5483870967741935,0.8,0.9365244536940687,17,14,1,30,0.967741935483871,30,31,20,184.04907975460117,0.44000000000000006,99
mask_ratio_005/masked_bimamba/fold_0/seed_42,mask_ratio_005,masked_bimamba,fold_0,seed_42,0.8713942307692307,0.7371794871794872,0.6353591160220995,0.9370199692780338,0.6824925816023739,0.8706325160611386,1220,82,132,230,0.4512092139667192,0.7419354838709677,0.6666666666666666,0.967741935483871,0.5161290322580645,0.7894736842105263,0.9167533818938606,16,15,1,30,0.967741935483871,30,31,22,202.45398773006127,0.45333333333333337,83
mask_ratio_005/masked_bimamba/fold_1/seed_2026,mask_ratio_005,masked_bimamba,fold_1,seed_2026,0.8321441982726249,0.5046040515653776,0.6061946902654868,0.8783355947535052,0.5507537688442212,0.8000154096772772,1942,269,178,274,0.6493556852651539,0.6153846153846154,0.5714285714285714,0.9230769230769231,0.3076923076923077,0.7058823529411765,0.8139381985535832,12,27,3,36,0.9230769230769231,36,39,35,206.69291338582684,0.3833333333333333,64
mask_ratio_005/masked_bimamba/fold_1/seed_3407,mask_ratio_005,masked_bimamba,fold_1,seed_3407,0.8422831393165603,0.5288808664259927,0.6482300884955752,0.8819538670284939,0.5825049701789263,0.8185850714248548,1950,261,159,293,0.23532615798423043,0.6666666666666666,0.6101694915254238,0.9230769230769231,0.41025641025641024,0.7346938775510206,0.831689677843524,16,23,3,36,0.8974358974358975,35,39,31,183.07086614173235,0.33142857142857135,22
mask_ratio_005/masked_bimamba/fold_1/seed_42,mask_ratio_005,masked_bimamba,fold_1,seed_42,0.8332707472775066,0.5069686411149826,0.6438053097345132,0.872003618272275,0.5672514619883041,0.8103158783716174,1928,283,161,291,0.5090252316444609,0.5769230769230769,0.5454545454545454,0.9230769230769231,0.23076923076923078,0.6857142857142856,0.8224852071005917,9,30,3,36,0.9230769230769231,36,39,47,277.55905511811034,0.26111111111111107,68
mask_ratio_005/masked_bimamba/fold_2/seed_2026,mask_ratio_005,masked_bimamba,fold_2,seed_2026,0.8937533368926855,0.6856287425149701,0.7089783281733746,0.932258064516129,0.6971080669710807,0.939614501148507,1445,105,94,229,0.05445674276183266,0.8095238095238095,0.7317073170731707,0.967741935483871,0.65625,0.8333333333333334,0.9516129032258064,21,11,1,30,0.967741935483871,30,31,16,131.92853870819974,0.43333333333333335,22
mask_ratio_005/masked_bimamba/fold_2/seed_3407,mask_ratio_005,masked_bimamba,fold_2,seed_3407,0.9049652963160705,0.6975476839237057,0.7925696594427245,0.9283870967741935,0.7420289855072465,0.9311065614700889,1439,111,67,256,0.2591678596135296,0.7936507936507936,0.7045454545454546,1.0,0.59375,0.8266666666666667,0.9546370967741935,19,13,0,31,1.0,31,31,20,164.91067338524965,0.13548387096774192,99
mask_ratio_005/masked_bimamba/fold_2/seed_42,mask_ratio_005,masked_bimamba,fold_2,seed_42,0.8974906567004806,0.7133550488599348,0.6780185758513931,0.9432258064516129,0.6952380952380952,0.9139518625786477,1462,88,104,219,0.28119086235393626,0.8095238095238095,0.7209302325581395,1.0,0.625,0.8378378378378378,0.967741935483871,20,12,0,31,1.0,31,31,19,156.66513971598718,0.12258064516129033,79
mask_ratio_005/masked_bimamba/fold_3/seed_2026,mask_ratio_005,masked_bimamba,fold_3,seed_2026,0.8825644098262433,0.5678571428571428,0.6794871794871795,0.9156794425087108,0.6186770428015564,0.8674052235027844,1314,121,75,159,0.4021861293875976,0.7192982456140351,0.6486486486486487,0.8888888888888888,0.5666666666666667,0.75,0.8506172839506173,17,13,3,24,0.8518518518518519,23,27,18,166.15384615384616,0.2,53
