,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_event_recall,event_event_recall,event_event_recall,event_detected_events,event_detected_events,event_detected_events,event_total_events,event_total_events,event_total_events,event_false_alarms,event_false_alarms,event_false_alarms,event_false_alarms_per_hour,event_false_alarms_per_hour,event_false_alarms_per_hour,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masked_bimamba,0.8666966958924428,0.027835266983459332,12,0.6047760882449972,0.08556297181409113,12,0.6821762980740469,0.07123215482229861,12,0.9061261188717534,0.020557618028395223,12,0.639460139611369,0.07279214874451771,12,0.8635200780704769,0.05018257980589678,12,1468.4166666666667,309.32285526271545,12,156.08333333333334,64.2529919124158,12,112.83333333333333,50.453999451045114,12,229.91666666666666,40.560747557512336,12,0.31993494497142067,0.20970902989532025,12,0.711305075481646,0.05108381218313548,12,0.641694620853262,0.0383641979285512,12,0.9437475109518121,0.053982320166126474,12,0.48585607940446646,0.09236758132327495,12,0.7631639798323331,0.03702736134889323,12,0.8761980951577265,0.058674609792768076,12,15.916666666666666,2.874917653629668,12,17.083333333333332,4.2094770423054895,12,1.9166666666666667,2.108783937953269,12,30.083333333333332,3.6545944516540563,12,0.9292650798027142,0.06164102058022072,12,29.666666666666668,4.075053448245876,12,32.0,4.552721463835969,12,25.25,7.863899102284381,12,198.4538253968311,40.846808688292484,12,0.27003160534162735,0.13509696426040024,12
tcn,0.8482320903727097,0.028339966492414922,12,0.5616937876439794,0.10782118127105739,12,0.6652366363206753,0.07428375460104573,12,0.8879355421454721,0.03476018979541611,12,0.6027873849597978,0.07369889264088147,12,0.8560930366828869,0.045999893572109374,12,1435.0833333333333,284.0315150034438,12,189.41666666666666,96.3709295410502,12,115.08333333333333,38.44111987143061,12,227.66666666666666,57.2130521239108,12,0.10460292589011379,0.041438627945604295,12,0.6864885884410503,0.03693305599843614,12,0.6193572392004085,0.02733861443493188,12,0.9481052599332168,0.03743298515638213,12,0.43303651433691753,0.08279534693681206,12,0.7485910668160427,0.022318289184550595,12,0.8786864415836084,0.055905030925012866,12,14.083333333333334,2.108783937953269,12,18.916666666666668,4.776045022883061,12,1.6666666666666667,1.2309149097933274,12,30.333333333333332,4.396968652757643,12,0.9450188401801305,0.040803137195388695,12,30.25,4.515126093074662,12,32.0,4.552721463835969,12,28.5,10.647236090349287,12,219.96376881507913,45.089902518213016,12,0.28794586761151947,0.20785039262102778,12
tcnte,0.8541596177514217,0.02731104315653884,12,0.5742829058787376,0.0987686561707661,12,0.7062616431708357,0.09922349583399136,12,0.8872243821407131,0.03386276598345313,12,0.6254102198045781,0.06753445358995565,12,0.8683776954002881,0.04305311855471011,12,1435.9166666666667,296.22088144838904,12,188.58333333333334,84.36226896096633,12,102.16666666666667,45.88688331763294,12,240.58333333333334,59.76995039061826,12,0.14802037060295656,0.07813417930553633,12,0.696946995970765,0.05385392452431534,12,0.6280081467560127,0.0480195926555574,12,0.9647167846092577,0.03512199046306333,12,0.43717474841466775,0.12814484286385533,12,0.7591026036544295,0.030147597258740725,12,0.885623168585044,0.058610867006172296,12,14.166666666666666,3.5887028128263667,12,18.833333333333332,5.936533015357048,12,1.0833333333333333,0.9962049198956219,12,30.916666666666668,4.832810839052218,12,0.9616303648561714,0.043110226364529096,12,30.833333333333332,4.9696045815506995,12,32.0,4.552721463835969,12,29.75,12.351849327861064,12,228.72966920616713,62.02038659474961,12,0.23964475439506813,0.22951781441186392,12
te,0.8662172468723611,0.02850681611029841,12,0.5984866957898196,0.1039862371557463,12,0.7452972412201883,0.07927699305261608,12,0.8935367998072179,0.031141337904856365,12,0.6581023168313344,0.07663059056317527,12,0.8880663149542795,0.037357077568718755,12,1447.6666666666667,306.89066259480563,12,176.83333333333334,75.62807719759944,12,89.0,38.95685258893952,12,253.75,57.65276150446662,12,0.09818278651611238,0.04038520026445044,12,0.7091031099944513,0.04081907049395162,12,0.6334213388693731,0.036069366592761186,12,0.9797506356646141,0.027980443108309112,12,0.44779388957816374,0.08563080027814304,12,0.7685965687439064,0.025717723037325037,12,0.9065578533491259,0.04617629499640823,12,14.583333333333334,2.0652243256245835,12,18.416666666666668,4.621261798043973,12,0.6666666666666666,0.9847319278346618,12,31.333333333333332,4.417595671307131,12,0.9766642159115277,0.031784671467005095,12,31.25,4.535215741084629,12,32.0,4.552721463835969,12,28.333333333333332,9.9939375562782,12,218.91865031539567,44.67840050675311,12,0.19556992574845744,0.15576751131116626,12
unimamba,0.8573559362672541,0.023819971721756036,12,0.5758555417036902,0.09141211992378223,12,0.7155059032201678,0.06774125306179911,12,0.8880975498426208,0.02674736064589547,12,0.6337874076294595,0.06843123445837736,12,0.869670469528795,0.04418450639936953,12,1442.9166666666667,328.581097872029,12,181.58333333333334,59.69537569014772,12,100.33333333333333,43.95107472743948,12,242.41666666666666,47.50398707349509,12,0.1519433131590626,0.07262042257038927,12,0.6995875752242475,0.026519934182598785,12,0.6268161240302718,0.020512654979638806,12,0.9634454553809393,0.030553323596228296,12,0.44438585607940445,0.05031877648720926,12,0.7592121202642667,0.01895401246215621,12,0.8772525325483316,0.054186313729903186,12,14.666666666666666,2.424621182533032,12,18.333333333333332,2.64001836540903,12,1.25,1.2154310870109943,12,30.75,3.744693214767704,12,0.9551358637380143,0.03524931099561909,12,30.5,3.8494391563163872,12,32.0,4.552721463835969,12,26.833333333333332,6.978321409692283,12,212.491341624856,40.852532533662284,12,0.2251630693082306,0.1868964481103849,12
