,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_event_recall,event_event_recall,event_event_recall,event_detected_events,event_detected_events,event_detected_events,event_total_events,event_total_events,event_total_events,event_false_alarms,event_false_alarms,event_false_alarms,event_false_alarms_per_hour,event_false_alarms_per_hour,event_false_alarms_per_hour,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcn,0.9127723145926204,0.02107337002217648,3,0.5619980392673901,0.06426141546146269,3,0.8652322551949939,0.02851634953591911,3,0.918146062011664,0.021861470698647714,3,0.6805906834724619,0.054764689222318315,3,0.9377256220745629,0.01774251917263603,3,3467.0,437.79789857878484,3,303.6666666666667,59.87765303795175,3,59.666666666666664,9.29157324317757,3,386.3333333333333,33.65016097039259,3,0.2763655515164214,0.11061473061628702,3,0.7261078042328042,0.035131107713868265,3,0.7176174615986467,0.032345932321131185,3,0.9924242424242425,0.013121597027036937,3,0.15,0.13228756555322954,3,0.8324852814951825,0.01691898103494587,3,0.959963002114165,0.016240907432412646,3,3.0,2.6457513110645907,3,17.0,2.6457513110645907,3,0.3333333333333333,0.5773502691896258,3,43.0,0.0,3,0.9846723044397464,0.013276804108964563,3,42.666666666666664,0.5773502691896247,3,43.333333333333336,0.5773502691896263,3,64.66666666666667,11.239810200058242,3,255.60590567590555,48.81574612922635,3,-0.08541897379106689,0.14022860709462312,3
tcnte,0.9448403474898067,0.010368132727702283,3,0.7255849944325022,0.039689420739170485,3,0.7839220974991817,0.022261082797957694,3,0.9637725969604966,0.011452950298471994,3,0.752772429446312,0.010748283683822898,3,0.9241894350430115,0.01740216996555955,3,3636.0,410.362035281043,3,134.66666666666666,35.23256069793016,3,96.0,4.358898943540674,3,350.0,29.546573405388315,3,0.48712316598722993,0.15556206503905012,3,0.8103505291005292,0.03299388011705298,3,0.7907925407925408,0.03258383585321337,3,0.9846723044397464,0.013276804108964563,3,0.43333333333333335,0.10408329997330668,3,0.8768424036281179,0.01935496939463285,3,0.9565274841437632,0.0037008266438637812,3,8.666666666666666,2.0816659994661326,3,11.333333333333334,2.0816659994661326,3,0.6666666666666666,0.5773502691896258,3,42.666666666666664,0.5773502691896263,3,0.9693446088794926,0.012816443607803483,3,42.0,0.0,3,43.333333333333336,0.5773502691896263,3,30.0,4.58257569495584,3,118.40859759425108,19.726030109592084,3,0.13809523809523824,0.08137146424111946,3
te,0.9444683855432215,0.012671697232796389,3,0.6992745805554453,0.039316461569174184,3,0.8463668548670876,0.02121770350236319,3,0.9560928031545105,0.011186225630554235,3,0.7656934528610515,0.032012403874153196,3,0.9432323724787223,0.009255309598468922,3,3608.0,420.87884242380255,3,162.66666666666666,25.106440076867397,3,68.33333333333333,8.144527815247079,3,377.6666666666667,27.42869543622762,3,0.36248108248716876,0.089952093589286,3,0.7684358465608465,0.008301433732658552,3,0.7529239766081872,0.0025322380227615245,3,0.9846723044397464,0.013276804108964563,3,0.3,0.0,3,0.8533233323332334,0.005973597610891162,3,0.9665169133192388,0.010742624802013115,3,6.0,0.0,3,14.0,0.0,3,0.6666666666666666,0.5773502691896258,3,42.666666666666664,0.5773502691896263,3,0.9691684284707541,0.013581898430026782,3,42.0,1.0,3,43.333333333333336,0.5773502691896263,3,40.333333333333336,7.023769168568491,3,158.10338546135742,20.236496189662617,3,0.08362999576839629,0.03139601901243331,3
