suite,group,metric,mean,sample_std,count
gmdcsa24_main_v1,tcnte,video_fn,1.0833333333333333,0.9962049198956219,12
gmdcsa24_main_v1,tcnte,video_fp,18.833333333333332,5.936533015357048,12
gmdcsa24_main_v1,tcnte,video_precision,0.6280081467560127,0.04801959265555742,12
gmdcsa24_main_v1,tcnte,video_recall,0.9647167846092577,0.03512199046306332,12
gmdcsa24_main_v1,tcnte,video_specificity,0.43717474841466775,0.12814484286385533,12
gmdcsa24_main_v1,tcnte,video_tn,14.166666666666666,3.588702812826367,12
gmdcsa24_main_v1,tcnte,video_tp,30.916666666666668,4.832810839052218,12
gmdcsa24_main_v1,tcnte,window_accuracy,0.8541596177514218,0.02731104315653886,12
gmdcsa24_main_v1,tcnte,window_auroc,0.8683776954002881,0.0430531185547101,12
gmdcsa24_main_v1,tcnte,window_f1,0.6254102198045781,0.06753445358995563,12
gmdcsa24_main_v1,tcnte,window_fn,102.16666666666667,45.88688331763294,12
gmdcsa24_main_v1,tcnte,window_fp,188.58333333333334,84.36226896096633,12
gmdcsa24_main_v1,tcnte,window_loss,0.14802037060295656,0.07813417930553634,12
gmdcsa24_main_v1,tcnte,window_precision,0.5742829058787375,0.09876865617076609,12
gmdcsa24_main_v1,tcnte,window_recall,0.7062616431708357,0.09922349583399138,12
gmdcsa24_main_v1,tcnte,window_specificity,0.8872243821407131,0.0338627659834531,12
gmdcsa24_main_v1,tcnte,window_tn,1435.9166666666667,296.22088144838915,12
gmdcsa24_main_v1,tcnte,window_tp,240.58333333333334,59.76995039061828,12
gmdcsa24_main_v1,te,event_detected_events,31.25,4.535215741084631,12
gmdcsa24_main_v1,te,event_event_recall,0.9766642159115277,0.03178467146700511,12
gmdcsa24_main_v1,te,event_false_alarms,28.333333333333332,9.9939375562782,12
gmdcsa24_main_v1,te,event_false_alarms_per_hour,218.91865031539567,44.67840050675311,12
gmdcsa24_main_v1,te,event_mean_detection_delay_seconds,0.19556992574845747,0.15576751131116626,12
gmdcsa24_main_v1,te,event_total_events,32.0,4.552721463835969,12
gmdcsa24_main_v1,te,video_accuracy,0.7091031099944513,0.040819070493951615,12
gmdcsa24_main_v1,te,video_auroc,0.9065578533491259,0.04617629499640822,12
gmdcsa24_main_v1,te,video_f1,0.7685965687439064,0.025717723037325012,12
gmdcsa24_main_v1,te,video_fn,0.6666666666666666,0.9847319278346619,12
gmdcsa24_main_v1,te,video_fp,18.416666666666668,4.621261798043972,12
gmdcsa24_main_v1,te,video_precision,0.6334213388693732,0.0360693665927612,12
